epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.683,0.86968,4.35046,1.31864,0,0,0,0,0.42399,3.80594,0.98169,0.00010323,0.00010323,0.00010323
2,247.106,0.67574,4.0431,1.15857,0.05078,0.70255,0.09656,0.09037,0.44323,3.47575,0.95978,0.000206823,0.000206823,0.000206823
3,299.83,0.65231,3.76393,1.14387,0.03264,0.95032,0.18425,0.16439,0.475,2.9452,0.99661,0.000307402,0.000307402,0.000307402
4,351.961,0.70599,3.57747,1.16976,0.47438,0.21896,0.27858,0.23969,0.52873,2.69477,1.0264,0.000318871,0.000318871,0.000318871
5,401.767,0.72551,3.35449,1.18787,0.38215,0.43531,0.38443,0.34468,0.49545,2.36367,0.99676,0.000314162,0.000314162,0.000314162
6,454.449,0.71532,3.13747,1.1697,0.42206,0.50369,0.43481,0.37878,0.50454,2.08855,0.99344,0.000309452,0.000309452,0.000309452
7,506.094,0.72444,2.94194,1.17907,0.53191,0.4578,0.48349,0.42856,0.4687,1.91499,0.9803,0.000304743,0.000304743,0.000304743
8,551.164,0.699,2.73756,1.16573,0.65422,0.46976,0.56571,0.49894,0.50832,1.84539,1.02677,0.000300033,0.000300033,0.000300033
9,604.383,0.63768,2.51347,1.11526,0.43764,0.63769,0.61451,0.56259,0.46528,1.72285,0.97366,0.000295323,0.000295323,0.000295323
10,659.831,0.65229,2.36829,1.11526,0.60057,0.64724,0.68019,0.61233,0.48229,1.54631,0.99557,0.000290614,0.000290614,0.000290614
11,712.014,0.64593,2.32158,1.12203,0.5125,0.71871,0.67753,0.62435,0.45044,1.60983,0.96192,0.000285904,0.000285904,0.000285904
12,762.957,0.62083,2.16779,1.08449,0.59076,0.70738,0.7277,0.666,0.47181,1.44953,1.00536,0.000281195,0.000281195,0.000281195
13,823.64,0.62833,2.12718,1.11123,0.71629,0.68263,0.77524,0.7162,0.44996,1.26416,0.9705,0.000276485,0.000276485,0.000276485
14,879.437,0.59525,1.97906,1.07208,0.68525,0.73711,0.80694,0.75225,0.43254,1.12788,0.97282,0.000271776,0.000271776,0.000271776
15,934.394,0.59717,1.96088,1.0798,0.59211,0.74443,0.76732,0.70897,0.46095,1.29832,0.98019,0.000267066,0.000267066,0.000267066
16,990.586,0.57469,1.87333,1.05321,0.72786,0.74801,0.85536,0.79051,0.4499,1.10804,0.97357,0.000262356,0.000262356,0.000262356
17,1043.22,0.58033,1.79362,1.07141,0.66942,0.79766,0.84584,0.78735,0.4261,1.11318,0.9576,0.000257647,0.000257647,0.000257647
18,1101.87,0.54431,1.66319,1.02789,0.76866,0.76551,0.84657,0.77275,0.43732,1.01697,0.96166,0.000252937,0.000252937,0.000252937
19,1158.71,0.57613,1.70698,1.06377,0.79415,0.73852,0.8485,0.79156,0.43225,1.08257,0.96243,0.000248228,0.000248228,0.000248228
20,1212.93,0.53542,1.58292,1.04201,0.69066,0.79803,0.85125,0.79164,0.40653,0.99559,0.93342,0.000243518,0.000243518,0.000243518
